x,y,z,rx,ry,rz
-0.5400949603502232,0.6749530586160455,0.4111111111111111,4.041,1.516,-1.466
-0.6622028630517387,0.5556541781512531,0.4111111111111111,4.041,1.516,-1.466
-0.7584855106762943,0.41468533567632376,0.4111111111111111,4.041,1.516,-1.466
-0.8251879754319282,0.257544176275488,0.4111111111111111,4.041,1.516,-1.466
-0.859708927329463,0.09035904935803807,0.4111111111111111,4.041,1.516,-1.466
-0.8607020834728308,-0.08034999089229695,0.4111111111111111,4.041,1.516,-1.466
-0.828128711757167,-0.24792546116580924,0.4111111111111111,4.041,1.516,-1.466
-0.7632591413824946,-0.4058320842749146,0.4111111111111111,4.041,1.516,-1.466
-0.25082999379346915,0.8747481433038702,0.4111111111111111,4.041,1.516,-1.466
-0.41784147258218046,0.8083987282216337,0.4111111111111111,4.041,1.516,-1.466
-0.5685575482350036,0.71052256427576,0.4111111111111111,4.041,1.516,-1.466
-0.6971004432382699,0.5849367248147509,0.4111111111111111,4.041,1.516,-1.466
-0.7984571121386698,0.4365389330577239,0.4111111111111111,4.041,1.516,-1.466
-0.8686747453454361,0.27111655574501886,0.4111111111111111,4.041,1.516,-1.466
-0.9050149247851288,0.0951209015735645,0.4111111111111111,4.041,1.516,-1.466
-0.906060419491322,-0.08458437344574705,0.4111111111111111,4.041,1.516,-1.466
-0.8717704562070948,-0.26099094176709225,0.4111111111111111,4.041,1.516,-1.466
-0.8034823095016235,-0.4272191221351607,0.4111111111111111,4.041,1.516,-1.466
-0.13781867790849953,0.48063084796915945,0.4666666666666667,4.041,1.516,-1.466
-0.22958322669350575,0.44417512539650206,0.4666666666666667,4.041,1.516,-1.466
-0.31239425727198,0.39039701333832966,0.4666666666666667,4.041,1.516,-1.466
-0.38302222155948895,0.32139380484326974,0.4666666666666667,4.041,1.516,-1.466
-0.43871269897729104,0.239856556625123,0.4666666666666667,4.041,1.516,-1.466
-0.47729381612386595,0.14896514051924112,0.4666666666666667,4.041,1.516,-1.466
-0.4972609476841367,0.052264231633826645,0.4666666666666667,4.041,1.516,-1.466
-0.4978353953249022,-0.04647493046469618,0.4666666666666667,4.041,1.516,-1.466
-0.4789947561577444,-0.1434016163555452,0.4666666666666667,4.041,1.516,-1.466
-0.44147379642946344,-0.23473578139294543,0.4666666666666667,4.041,1.516,-1.466
-0.15037549078460727,0.5244216585619051,0.4666666666666667,4.041,1.516,-1.466
-0.2505008095700252,0.48464441459929447,0.4666666666666667,4.041,1.516,-1.466
-0.3408568451567604,0.42596651899804416,0.4666666666666667,4.041,1.516,-1.466
-0.41791980174602017,0.3506763515067677,0.4666666666666667,4.041,1.516,-1.466
