,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
82,-0.357487407,-0.299967551,0.344444444,-0.3824363169999999,-0.322143844,0.34280297,0.405940313,-1.609572322,1.801240279,-0.191376743,1.258656311,1.536437034
83,-0.383022222,-0.321393805,0.344444444,-0.40794319,-0.34370001,0.342727699,0.429833208,-1.528067802,1.719558032,-0.191201159,1.282549203,1.536444291
84,-0.408557036,-0.342820058,0.344444444,-0.433501715,-0.365194542,0.342653094,0.450076333,-1.447995791,1.63218729,-0.183904093,1.302792326,1.536450357
85,-0.434091851,-0.364246312,0.344444444,-0.459010123,-0.38675027,0.34257337,0.467453713,-1.368567592,1.538616877,-0.169763198,1.320169704,1.53645551
86,-0.459626666,-0.385672566,0.344444444,-0.484591206,-0.408336187,0.342362689,0.48253814,-1.288934077,1.438041442,-0.148822348,1.335254131,1.536459946
87,-0.485161481,-0.407098819,0.344444444,-0.510201313,-0.429789916,0.3424857759999999,0.495758296,-1.208109578,1.329232069,-0.120838352,1.348474285,1.536463808
88,-0.510696295,-0.428525073,0.344444444,-0.535797789,-0.451275417,0.342297064,0.507441649,-1.124844905,1.21029507,-0.08516676,1.360157638,1.536467202
89,-0.53623111,-0.449951327,0.344444444,-0.561459185,-0.472842617,0.342107238,0.517842823,-1.037383273,1.078183175,-0.040517123,1.370558812,1.53647021
90,-0.53623111,-0.449951327,0.4,-0.5618260900000001,-0.472874678,0.397630231,0.517842821,-1.032507275,0.92877959,0.104010128,1.370558792,1.536470122
91,-0.510696295,-0.428525073,0.4,-0.5361450280000001,-0.451269583,0.397965891,0.507441649,-1.127012252,1.071707809,0.055587874,1.360157638,1.536467072
92,-0.485161481,-0.407098819,0.4,-0.510513805,-0.4297664009999999,0.397923883,0.495758295,-1.215170429,1.197051938,0.01840266,1.348474285,1.536463688
93,-0.459626666,-0.385672566,0.4,-0.484930133,-0.408287719,0.397997749,0.482537517,-1.299537098,1.309596699,-0.009774553,1.335253507,1.53645983
94,-0.434091851,-0.364246312,0.4,-0.459384097,-0.386687058,0.3980075899999999,0.467453369,-1.381710236,1.412081069,-0.030084715,1.32016936,1.536455394
95,-0.408557036,-0.342820058,0.4,-0.4338206089999999,-0.365109738,0.398109306,0.450076354,-1.462843444,1.506227643,-0.043096757,1.302792346,1.536450238
96,-0.383022222,-0.321393805,0.4,-0.408316511,-0.343639242,0.398180963,0.429833208,-1.543825768,1.593129683,-0.049014806,1.282549201,1.536444167
97,-0.357487407,-0.299967551,0.4,-0.382744606,-0.322042078,0.398391315,0.405940313,-1.62542421,1.673504442,-0.047788976,1.258656309,1.536436908
98,-0.331952592,-0.278541298,0.4,-0.3572241359999999,-0.300502163,0.398351194,0.377293146,-1.708318854,1.747777473,-0.039164522,1.230009145,1.536428055
99,-0.306417777,-0.257115044,0.4,-0.331719213,-0.279040012,0.3982745239999999,0.342280082,-1.793176772,1.816176001,-0.022701253,1.194996088,1.53641699
100,-0.263008547,-0.301374359,0.4,-0.288259457,-0.3233244,0.398548664,0.538465752,-1.790797104,1.814362158,-0.023283355,1.391181739,1.536476097
101,-0.284925926,-0.326488888,0.4,-0.310055286,-0.348525447,0.398652553,0.569472951,-1.706047033,1.745840597,-0.039513325,1.422188944,1.536484963
102,-0.306843305,-0.351603418,0.4,-0.331942795,-0.373766171,0.398596082,0.594830929,-1.623232382,1.671439836,-0.047928183,1.447546918,1.536492127
103,-0.328760684,-0.376717948,0.4,-0.353889878,-0.399018309,0.398407973,0.615973713,-1.541689318,1.590928263,-0.04896034,1.4686897,1.536498062
104,-0.350678063,-0.401832478,0.4,-0.375739522,-0.424185907,0.398373908,0.633882732,-1.4607334,1.50386876,-0.042857221,1.486598717,1.536503069
105,-0.372595442,-0.426947008,0.4,-0.397725321,-0.449379757,0.398256673,0.649253916,-1.379607424,1.409547579,-0.029662344,1.5019699,1.536507353
106,-0.394512821,-0.452061538,0.4,-0.419605719,-0.474674279,0.398268317,0.662595289,-1.297412773,1.306853113,-0.009162761,1.515311272,1.536511064
107,-0.4164302,-0.477176068,0.4,-0.441551999,-0.499876701,0.398180125,0.674286814,-1.212995956,1.194054614,0.019218756,1.527002796,1.536514311
108,-0.438347579,-0.502290598,0.4,-0.463576869,-0.525084083,0.398090394,0.684618604,-1.12473106,1.068361188,0.056647164,1.537334585,1.536517177
109,-0.460264958,-0.527405127,0.4,-0.485554417,-0.5503452059999999,0.397935822,0.693816142,-1.03003572,0.924924708,0.1053882,1.546532121,1.536519728
110,-0.460264958,-0.527405127,0.344444444,-0.48522124,-0.5503009160000001,0.342437237,0.693816142,-1.03512747,1.074681202,-0.039276507,1.54653212,1.536519475
111,-0.438347579,-0.502290598,0.344444444,-0.463239857,-0.525030954,0.34253571,0.684618604,-1.122709446,1.207155798,-0.084169038,1.537334586,1.536517081
112,-0.4164302,-0.477176068,0.344444444,-0.441254041,-0.499857923,0.342779766,0.674286102,-1.206045572,1.326366332,-0.12004333,1.527002084,1.536514219
113,-0.394512821,-0.452061538,0.344444444,-0.419332753,-0.474651332,0.3426380639999999,0.662594757,-1.286897299,1.435381186,-0.148206294,1.51531074,1.536510972
