x_t,y_t,z_t,x_m,y_m,z_m,j1_target,j2_target,j3_target,j4_target,j5_target,j6_target
-0.4231387826973391,-0.10233859911272508,0.12287582589736522,-0.4231995106339421,-0.10218905159218389,0.12293215346967366,-0.0856058621364312,-1.3775526292792355,2.3391122466380185,-1.3092606416229338,1.2433545702504354,0.2173809469650796
-0.4557043865016037,-0.1097616012347843,0.12214530642532134,-0.455690808890899,-0.1096111669751095,0.12210895076592097,-0.076193047205054,-1.333680552257522,2.1811732180080066,-0.953884206840602,1.1618850407475518,0.0824189428887209
-0.48851008530780926,-0.11707046820684205,0.12295003561520196,-0.48842682910985025,-0.11670364362236826,0.12286897560808027,0.0165506859787871,-1.2520084725198974,2.1314732940240173,-1.1575949708811002,1.5940033956386,-0.1439439685372034
-0.5206595877935063,-0.1252902286762128,0.12276364090184785,-0.5207193929176432,-0.12493380178130224,0.12272658050434586,-0.0040486911755119,-1.1963900258113236,2.0470207306448103,-1.1394874666439234,1.3758178148009923,-0.0978605443897411
-0.5533610225205753,-0.13244247765740205,0.12238912077781922,-0.5533451114634484,-0.13222977803838856,0.12224731358538359,0.017192527922289,-1.1427207750494313,1.904868641684983,-0.8970644249564041,1.4240558300215849,0.0900572886404345
-0.5857344264275494,-0.1402458321645478,0.12181678751629282,-0.5857293017922933,-0.14004526964698355,0.12177744020392592,0.0097590833468284,-1.0790076428906126,1.768748440773087,-0.7219907739400502,1.2810292080363634,-0.0975556567664313
-0.618526475006672,-0.14723802439121764,0.12169757066823551,-0.6184827360150851,-0.14695959364348013,0.12159479105770192,0.0553689806999808,-1.0062569168460316,1.619540887181632,-0.5413024246863145,1.5394700124294245,-0.1674028170202888
-0.6508906405071124,-0.15541550510568672,0.12286854823729365,-0.650803354377772,-0.15511749545876624,0.12275937637707326,0.0780106083182055,-0.9490349772497866,1.635053753358501,-1.0062476941630676,1.648975186608299,-0.186231856667693
-0.6835462376634893,-0.16266297260845156,0.12189168641811618,-0.6834849582270016,-0.1624294081756679,0.12184912665631874,0.078154767545429,-0.8814680157089501,1.428436825539852,-0.5904995638839319,1.587700581723977,-0.0016756542390186
-0.6830860876876461,-0.16353082492177098,0.17785412137063467,-0.6831477028004046,-0.16334734892944544,0.17786348773643462,0.0466115234244037,-0.9632312571514036,1.4792880757913132,-0.8161046503919538,1.320704121520171,0.0325600301752619
-0.6511318653570776,-0.15435532518392017,0.1770067063235223,-0.6511003019890707,-0.15430294465697877,0.1769245433825681,0.0701131055593866,-0.9959087332688208,1.4288636391106548,-0.3163095242787901,1.5857264027267206,-0.0050008657497402
-0.6182572495091986,-0.14768047131122577,0.17718282058671223,-0.6182827659737372,-0.14760216552302702,0.17707550407402092,0.0167667165345921,-1.0849187798578734,1.600893408356308,-0.5273770455566384,1.242269826126618,0.0235165186179351
-0.5856870521655725,-0.14041509181996162,0.1783825894300897,-0.5857038541844608,-0.140166405136519,0.1781637562785237,0.0242573224967106,-1.1637979144165398,1.8150250228796825,-0.975048112885856,1.387287842432186,0.0104943449503998
-0.5535077094786615,-0.13145619380473822,0.1768054133059091,-0.5534591620121164,-0.13142189504909532,0.17661527471739102,0.0148549226597665,-1.195528968780016,1.7201636690693274,-0.2990545688574921,1.4081442945180838,0.0366189320687593
-0.5208680153184287,-0.12463042697988404,0.17825470410623667,-0.5208734312445054,-0.12443164418754489,0.17821167963506726,0.01440016080373,-1.2959088624435635,1.9957485094053844,-0.9838502159178146,1.493446162646496,0.0528467474859657
-0.4884102556044738,-0.11664325880650932,0.1773757196025909,-0.48840470282502163,-0.11663423574722889,0.1773183137447147,-0.0322821631257936,-1.365078167120823,2.0060629680603155,-0.6621255928093901,1.3026979253744797,0.0909086342705864
-0.4561690989362264,-0.10867106480243287,0.17805088952267462,-0.45609349816599043,-0.10845318214661023,0.1778821757720552,0.000852256139582,-1.435001054981381,2.1255414338644085,-0.8255545442929524,1.5940827366731574,-0.113700354876121
-0.42339707215623484,-0.10157502464046059,0.17765675108599036,-0.42338206516709087,-0.10152847479357527,0.17769799828175975,-0.0852404974255902,-1.520302407925037,2.2263449856980664,-0.8615896411823409,1.245283688948691,-0.111522304224469
-0.3908496515879151,-0.09334181656896666,0.17648389775975498,-0.39080947802940935,-0.09331251450687089,0.17651703976555985,-0.1333385058288851,-1.5630271784822336,2.17880262688444,-0.3728607281535647,1.1446273572460282,-0.1638520104358654
-0.3771651386709664,-0.13906136406863195,0.17796723165081224,-0.37724202168836996,-0.13885127367890704,0.1780723759612638,-0.0057779870611267,-1.5997032033276264,2.3507813677014013,-1.0426208190416926,1.199930093381484,-0.0360344677813122
-0.40908033772886787,-0.1490197067502314,0.17685310676694968,-0.4090057635631531,-0.14894485166013866,0.1768065500402432,0.0673105699044844,-1.4880012219742529,2.1005936775839764,-0.4040754546820237,1.4326303055955218,-0.0618568904575123
