step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_set,y_set,z_set,rx_set,ry_set,rz_set
58,0.100771,-0.481948,0.854078,3.02397,1.35997,1.61005,-3.88764,-2.79001,1.89594,-2.51127,0.921666,0.185877,251.55642899999998,-3162.692552,-369.467468,-106.88148000000001,-29.77467,-97.208624
59,-0.312214,-0.562697,1.09113,3.54595,1.3616,1.5363,-4.86885,-2.57232,1.21834,-1.98808,1.28523,-0.0270813,603.916954,-2946.232403,-132.32559,-104.71067000000001,4.1259213,-95.436861
60,-0.147474,-0.682996,0.815498,3.19648,1.59373,1.45027,-4.60429,-3.12053,1.79539,-1.79259,1.28636,-0.00627071,412.735134,-2889.952004,-411.222458,-91.953508,-11.5895256,-91.358883
61,0.0443182,-0.89271,0.890107,3.19273,1.43495,1.65367,-4.41906,-2.96779,1.2991,-1.61363,1.31027,0.0284228,162.4365018,-2757.31189,-335.751497,-101.76111999999999,-23.074079,-95.40851
62,-0.191644,-0.575171,0.976158,3.75552,1.70064,1.67893,-4.53266,-2.85286,1.6267,-1.77858,0.88546,-0.0126846,485.558514,-2976.520629,-251.844528,-87.619563,7.4072792,-88.50880799999999
63,0.158279,-0.744025,1.02294,2.79882,1.59381,1.69084,-4.29862,-2.8016,1.28419,-1.60249,1.61883,-0.00744373,112.004641,-2933.1463750000003,-204.93244,-91.27318700000001,-48.167767999999995,-91.19255899999999
64,0.0947574,-0.578654,0.959257,3.21215,1.47456,1.6472,-4.0355,-2.78438,1.63426,-2.11386,0.90249,0.0682618,222.2102126,-3070.7112460000003,-266.498727,-99.21443099999999,-21.694637,-94.334249
65,-0.249907,-0.590521,1.05015,3.38716,1.22252,1.39826,-4.72691,-2.5796,1.25346,-2.18221,1.17661,0.0573955,535.674427,-2940.830779,-171.17045,-112.88512,3.3525539999999996,-95.05610399999999
66,-0.155809,-0.769215,1.02768,3.69056,1.3482,1.51542,-4.50843,-2.7125,1.14344,-1.84662,0.769453,0.0807314,383.374709,-2805.1590850000002,-196.4459,-105.01389,13.691365,-95.484379
67,0.133872,-0.460495,1.02665,3.12054,1.83959,1.46128,-3.63481,-2.75314,1.61613,-1.3943,0.481854,-0.561313,223.208708,-3195.951305,-205.20617,-77.327279,-16.457986000000002,-88.010097
68,-0.274289,-0.64827,1.11448,3.50007,1.85296,1.46297,-4.75515,-2.71549,1.21591,-1.35237,1.149,-0.0206669,537.9804489999999,-2878.1596299999997,-116.57038,-78.402442,5.2537415,-87.77063
69,-0.084383,-0.546967,1.13446,3.36576,1.73762,1.72176,-4.42916,-2.59243,1.35302,-1.72867,1.21534,-0.0241378,399.656753,-3038.9455329999996,-95.05018100000001,-83.832882,-17.259235,-87.220747
70,-0.213505,-0.436712,0.975721,3.77,1.56689,1.58915,-4.45554,-2.70752,1.72528,-2.16423,0.703415,0.000622431,551.004675,-3098.408188,-250.487891,-94.002256,13.360710000000001,-91.873727
71,0.351303,-0.500177,1.10707,3.41508,1.68054,1.74369,-3.47269,-2.66053,1.16659,-1.20918,0.250789,-0.397427,5.4502411,-3233.439823,-123.16534999999999,-87.351032,-15.772686,-88.862094
72,0.348681,-0.737729,1.13715,3.40949,1.66698,1.66132,-3.84446,-2.58437,0.758064,-1.13173,0.530697,-0.134297,-75.530865,-3009.035571,-93.325783,-88.20931900000001,-11.519723800000001,-89.601862
73,0.220337,-0.502545,0.831392,3.42543,1.55025,1.45454,-3.57154,-2.96925,1.8786,-2.65144,0.0350962,0.593524,123.020813,-3186.933555,-396.013822,-94.587327,1.328486,-91.999658
74,0.236392,-0.467457,1.13651,3.4883,1.5097,1.60988,-3.47402,-2.36042,1.09206,-3.05875,0.0619667,1.163,120.72471800000001,-3225.772043,-90.395673,-96.835967,-3.8499896000000002,-93.241995
75,0.0775192,-0.577199,0.969278,2.94787,1.62596,1.40777,-4.08258,-2.82481,1.66324,-1.91457,0.972354,-0.0483597,239.14845079999998,-3066.242701,-258.81375799999995,-89.78017299999999,-23.454525999999998,-91.098402
76,0.160728,-0.640925,1.1163,3.33188,1.30037,1.56724,-3.95648,-2.49364,1.04975,-2.1388,0.661412,0.303053,135.305902,-3035.272075,-107.02418,-108.80799,-9.4426597,-97.114432
77,0.00827923,-0.87575,1.10718,3.19534,1.6669,1.55408,-4.43402,-2.65228,0.856355,-1.24342,1.22264,-0.0304201,200.07184077,-2761.46265,-122.17129,-87.700636,-17.627437999999998,-89.947503
78,-0.284814,-0.693461,0.823516,3.21849,1.23392,1.64675,-4.93766,-2.99644,1.58424,-2.07273,1.77708,-0.100992,540.687744,-2830.867839,-398.004056,-113.75524,-19.769744000000003,-100.206187
79,0.0589769,-0.493526,0.991341,3.26035,1.55499,1.74364,-3.96336,-2.68911,1.68154,-2.15466,0.875062,0.0105195,285.43619309999997,-3138.323774,-235.53848100000002,-94.398466,-24.664175,-92.532992
80,-0.353021,-0.86287,1.02038,3.418,1.37714,1.47298,-4.87776,-2.6992,0.879261,-1.51213,1.36002,-0.0140732,541.014541,-2649.94683,-203.35101,-104.18365,0.3120391,-94.37210200000001
81,0.104195,-0.438244,1.06897,3.27722,1.5279,1.69317,-3.60721,-2.5264,1.52553,-2.23783,0.453256,0.0806359,260.028825,-3207.124556,-157.34077000000002,-95.992572,-20.802989999999998,-93.17057799999999
82,-0.224691,-0.661224,1.17491,3.2807,1.8391,1.73391,-4.84582,-2.60872,1.04327,-1.30768,1.7169,0.077572,494.823111,-2882.282876,-56.153040999999995,-77.233127,-22.267270999999997,-83.97867699999999
83,-0.252988,-0.670981,1.09011,3.59515,1.85339,1.48618,-4.68539,-2.7555,1.2398,-1.3255,1.00985,-0.0374215,509.114098,-2863.983119,-140.79680000000002,-78.914732,9.399297999999998,-87.397354
