step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,measurement_temperature,x_set,y_set,z_set,rx_set,ry_set,rz_set
92,20200714165209,0.8,0.6,0.5,1.5708,1.5708,1.71042,-2.1814,-2.10085,-1.53432,0.494653,0.748641,-0.00226146,23.6800003051758,1690.3551,-1657.5965999999999,-815.81918,-92.45063400000001,-69.19145900000001,-93.18533
93,20200714165240,0.8,0.6,0.4,1.22173,1.5708,1.5708,-2.22182,-2.1617,-1.64073,0.660676,0.999393,-0.00180704,23.5550003051758,1691.9221,-1653.4544999999998,-914.9569799999999,-93.94268799999999,-81.224603,-94.857695
94,20200714165249,0.8,0.6,0.4,1.39626,1.5708,1.5708,-2.1876,-2.18255,-1.60333,0.642965,0.790289,0.0,23.5550003051758,1691.2628,-1656.1698,-914.69574,-92.626393,-71.18456300000001,-93.330628
95,20200714165258,0.8,0.6,0.4,1.5708,1.5708,1.5708,-2.16035,-2.21236,-1.5503,0.619581,0.588366,-1.17461e-05,23.5550003051758,1690.0711000000001,-1658.8729999999998,-914.61969,-92.19072700000001,-61.234598999999996,-92.758217
96,20200714165307,0.8,0.6,0.4,1.7453299999999998,1.5708,1.5708,-2.14096,-2.25045,-1.48275,0.5934689999999999,0.39513,-0.00342256,23.5550003051758,1688.5107,-1660.9882,-915.14731,-91.93927099999999,-51.237798,-92.43894900000001
97,20200714165323,0.8,0.6,0.4,1.5708,0.8726649999999999,1.5708,-2.16051,-2.21224,-1.55082,0.6191979999999999,0.589098,0.697905,23.5550003051758,1689.9867000000002,-1658.9566,-914.6816,-92.152871,-60.658718,-52.821404
98,20200714165329,0.8,0.6,0.4,1.5708,1.0472,1.5708,-2.1602900000000003,-2.21245,-1.55043,0.6193420000000001,0.588378,0.524997,23.5550003051758,1689.9834,-1659.0355,-914.67766,-92.159751,-60.77904000000001,-62.686509
99,20200714165336,0.8,0.6,0.4,1.5708,1.22173,1.5708,-2.16054,-2.21306,-1.54972,0.6225729999999999,0.589086,0.346772,23.5550003051758,1689.9551000000001,-1658.9241,-914.5699099999999,-91.974472,-60.975814,-72.644546
100,20200714165343,0.8,0.6,0.4,1.5708,1.39626,1.5708,-2.16033,-2.21259,-1.55006,0.619617,0.587923,0.174723,23.5550003051758,1690.0007,-1658.9412,-914.6654199999999,-92.17888900000001,-61.077732999999995,-82.816096
101,20200714165357,0.8,0.6,0.4,1.5708,1.7453299999999998,1.5708,-2.16036,-2.2127,-1.55019,0.620563,0.587779,-0.175119,23.5550003051758,1690.1586,-1658.7464,-914.79597,-92.15764300000001,-61.38568,-102.77558
102,20200714165403,0.8,0.6,0.4,1.5708,1.91986,1.5708,-2.16065,-2.21295,-1.55008,0.6229439999999999,0.590106,-0.349624,23.5550003051758,1690.0803,-1658.7226999999998,-914.72735,-92.02890400000001,-61.669986,-112.61868000000001
103,20200714165410,0.8,0.6,0.4,1.5708,2.0944,1.5708,-2.16006,-2.21307,-1.54977,0.621927,0.587707,-0.523727,23.5550003051758,1690.1725000000001,-1658.7431,-914.71155,-92.075021,-61.711482000000004,-122.62558
